location_id,city,latitude,longitude,location_type,aoi_width_m,aoi_height_m,target_resolution_m,aoi_min_lon,aoi_min_lat,aoi_max_lon,aoi_max_lat,utm_epsg
KOL_003,Kolkata,22.56,88.5,construction,2560.0,2560.0,10.0,88.48743022069867,22.548323978718226,88.51257185226315,22.571675173060516,32645
KOL_004,Kolkata,22.61,88.42,water,2560.0,2560.0,10.0,88.40743166151081,22.598329594588257,88.43257041760077,22.62166954775369,32645
KOL_005,Kolkata,22.52,88.33,vegetation,2560.0,2560.0,10.0,88.31744727332094,22.50833639476001,88.34255479557159,22.531662743851424,32645
BLR_001,Bengaluru,12.9716,77.5946,urban,2560.0,2560.0,10.0,77.58269051398251,12.959919455664668,77.60651057296784,12.983280216684422,32643
BLR_002,Bengaluru,13.0358,77.597,mixed,2560.0,2560.0,10.0,77.58508678178288,13.024118852758114,77.60891431100765,13.047480817063303,32643
BLR_003,Bengaluru,12.8452,77.6602,construction,2560.0,2560.0,10.0,77.64829526188296,12.833518143265827,77.67210581334712,12.856881539970608,32643
BLR_004,Bengaluru,13.0827,77.5877,industrial,2560.0,2560.0,10.0,77.57578445553055,13.071018814749907,77.59961664156937,13.094380852293995,32643
BLR_005,Bengaluru,12.9352,77.6245,vegetation,2560.0,2560.0,10.0,77.61259147722338,12.923518675527474,77.6364096063109,12.946881000883957,32643
CHE_001,Chennai,13.0827,80.2707,urban,2560.0,2560.0,10.0,80.25885885613643,13.071092747004952,80.2825400426298,13.094306763818903,32644
CHE_002,Chennai,12.9716,80.22,mixed,2560.0,2560.0,10.0,80.20816221654592,12.95999076741948,80.23183669243517,12.983208752452407,32644
CHE_003,Chennai,12.835,80.226,construction,2560.0,2560.0,10.0,80.21416927588754,12.823391267977733,80.23782964555403,12.846608257280984,32644
CHE_004,Chennai,13.15,80.29,industrial,2560.0,2560.0,10.0,80.27815631527973,13.13839347439804,80.3018425773002,13.16160603189915,32644
CHE_005,Chennai,12.96,80.17,water,2560.0,2560.0,10.0,80.15816063310396,12.948388668200794,80.18183827699052,12.971610856364984,32644
HYD_001,Hyderabad,17.385,78.4867,urban,2560.0,2560.0,10.0,78.47450295351821,17.373289150587514,78.49889553786116,17.39671032431079,32644
HYD_002,Hyderabad,17.45,78.38,mixed,2560.0,2560.0,10.0,78.36779234913443,17.438283196106077,78.39220613621488,17.461716285114576,32644
HYD_003,Hyderabad,17.42,78.55,construction,2560.0,2560.0,10.0,78.53780372520266,17.408292159007893,78.562194762368,17.4317073089089,32644
HYD_004,Hyderabad,17.55,78.45,industrial,2560.0,2560.0,10.0,78.43778851819786,17.53828604525992,78.4622099567398,17.56171342554295,32644
HYD_005,Hyderabad,17.33,78.42,water,2560.0,2560.0,10.0,78.40780353039102,17.318286148832044,78.43219496682305,17.341713334215736,32644
AMD_001,Ahmedabad,23.0225,72.5714,urban,2560.0,2560.0,10.0,72.5587110614704,23.01075564015241,72.5840868157869,23.034243572478797,32643
AMD_002,Ahmedabad,23.09,72.54,mixed,2560.0,2560.0,10.0,72.52730176541303,23.07825299765517,72.55269610403673,23.10174621462475,32643
AMD_003,Ahmedabad,23.02,72.69,construction,2560.0,2560.0,10.0,72.67732034548668,23.008264008412066,72.70267753133838,23.031735193765744,32643
AMD_004,Ahmedabad,23.08,72.65,industrial,2560.0,2560.0,10.0,72.6373111768831,23.06826081651771,72.66268669306585,23.09173838642017,32643
AMD_005,Ahmedabad,23.03,72.5,water,2560.0,2560.0,10.0,72.48730488329167,23.018250585893494,72.5126929935332,23.041748632753325,32643
PUN_001,Pune,18.5204,73.8567,urban,2560.0,2560.0,10.0,73.84449753894243,18.508759816148274,73.86890083168016,18.532039490250792,32643
PUN_002,Pune,18.6,73.75,mixed,2560.0,2560.0,10.0,73.737784826541,18.588353195153037,73.76221353606273,18.611646116861905,32643
PUN_003,Pune,18.45,73.95,construction,2560.0,2560.0,10.0,73.93780867141317,18.438365594730996,73.96218970630981,18.46163370680072,32643
PUN_004,Pune,18.57,73.92,industrial,2560.0,2560.0,10.0,73.90779782074246,18.558363504139738,73.93220054458652,18.58163579456508,32643
PUN_005,Pune,18.48,73.8,vegetation,2560.0,2560.0,10.0,73.78779700825619,18.46835653145623,73.81220136669046,18.49164278165101,32643
JAI_001,Jaipur,26.9124,75.7873,urban,2560.0,2560.0,10.0,75.77433108237774,26.900771912634035,75.80027154230203,26.924026963216583,32643
JAI_002,Jaipur,26.96,75.8,mixed,2560.0,2560.0,10.0,75.78702425103684,26.948370747234982,75.81297838011409,26.971628127368266,32643
JAI_003,Jaipur,26.82,75.9,construction,2560.0,2560.0,10.0,75.88703081037607,26.808362077241988,75.91297180141017,26.831636813557857,32643
JAI_004,Jaipur,26.95,75.7,industrial,2560.0,2560.0,10.0,75.68703532782503,26.938379627019284,75.71296730219905,26.961619238961028,32643
JAI_005,Jaipur,26.88,75.75,vegetation,2560.0,2560.0,10.0,75.73703854946378,26.868375238410476,75.7629640708875,26.891623635674172,32643
LKO_001,Lucknow,26.8467,80.9462,urban,2560.0,2560.0,10.0,80.9333094078783,26.83513765767143,80.95908797541563,26.858261154724474,32644
LKO_002,Lucknow,26.9,81.0,mixed,2560.0,2560.0,10.0,80.98710881942725,26.888442636622216,81.01289118057275,26.911556168163084,32644
LKO_003,Lucknow,26.76,81.05,construction,2560.0,2560.0,10.0,81.03712221598506,26.748437877175235,81.06288038893123,26.771560939299007,32644
LKO_004,Lucknow,26.87,80.85,industrial,2560.0,2560.0,10.0,80.83709702107225,26.85842896032478,80.86290035907777,26.881569859623866,32644
LKO_005,Lucknow,26.82,80.9,vegetation,2560.0,2560.0,10.0,80.88710776442441,26.80843342933796,80.91288962251592,26.831565388616994,32644
SRT_001,Surat,21.1702,72.8311,urban,2560.0,2560.0,10.0,72.81860924525009,21.158484496665224,72.84358884369257,21.181914778618392,32643
SRT_002,Surat,21.22,72.9,mixed,2560.0,2560.0,10.0,72.88750948781478,21.20828871655472,72.91248859521143,21.23171055038702,32643
SRT_003,Surat,21.12,72.95,construction,2560.0,2560.0,10.0,72.93752210025741,21.10829253515809,72.96247599371031,21.13170673197532,32643
SRT_004,Surat,21.25,72.8,industrial,2560.0,2560.0,10.0,72.78749975252695,21.238282005301713,72.81249832764165,21.261717269060476,32643
SRT_005,Surat,21.15,72.75,water,2560.0,2560.0,10.0,72.73750547886846,21.13827934871784,72.76249261274954,21.161719934622006,32643
KNP_001,Kanpur,26.4499,80.3319,urban,2560.0,2560.0,10.0,80.31899354500213,26.438282709297162,80.34480389263045,26.46151617901081,32644
KNP_002,Kanpur,26.5,80.4,mixed,2560.0,2560.0,10.0,80.38709447531765,26.48838865725872,80.41290295545238,26.511610222340643,32644
KNP_003,Kanpur,26.4,80.5,construction,2560.0,2560.0,10.0,80.48711557464905,26.388397456054463,80.5128818693657,26.411601419499632,32644
KNP_004,Kanpur,26.48,80.25,industrial,2560.0,2560.0,10.0,80.23708215865672,26.468375537473825,80.26291527511717,26.491623356766244,32644
KNP_005,Kanpur,26.35,80.3,vegetation,2560.0,2560.0,10.0,80.28710180592591,26.338379982745387,80.31289564515124,26.361618913476484,32644
NGP_001,Nagpur,21.1458,79.0882,urban,2560.0,2560.0,10.0,79.07572944170634,21.134101478616785,79.10066864874123,21.157497775190457,32644
NGP_002,Nagpur,21.2,79.1,mixed,2560.0,2560.0,10.0,79.0875253656537,21.188301992628677,79.11247271867681,21.211697257650297,32644
NGP_003,Nagpur,21.1,79.25,construction,2560.0,2560.0,10.0,79.23754498342468,21.088312399991242,79.26245311145121,21.111686841714707,32644
NGP_004,Nagpur,21.18,78.98,industrial,2560.0,2560.0,10.0,78.96751874045688,21.16829418167157,78.99247934666187,21.19170508007247,32644
NGP_005,Nagpur,21.05,79.05,vegetation,2560.0,2560.0,10.0,79.03753541266163,21.038299445484284,79.06246268865146,21.061699816076434,32644
IDR_001,Indore,22.7196,75.8577,urban,2560.0,2560.0,10.0,75.84516592887985,22.707970774569592,75.87023616473178,22.731228312830805,32643
IDR_002,Indore,22.76,75.9,mixed,2560.0,2560.0,10.0,75.88745870706498,22.748367550994747,75.9125433912096,22.77163153822805,32643
IDR_003,Indore,22.65,76.0,construction,2560.0,2560.0,10.0,75.98746105071537,22.63836028514155,76.0125410343781,22.661638818141807,32643
IDR_004,Indore,22.75,75.78,industrial,2560.0,2560.0,10.0,75.7674693628099,22.73837656815162,75.79253273454407,22.76162251093498,32643
IDR_005,Indore,22.68,75.82,vegetation,2560.0,2560.0,10.0,75.80747268888763,22.66837364817059,75.83252940014685,22.69162543777778,32643
BHO_001,Bhopal,23.2599,77.4126,urban,2560.0,2560.0,10.0,77.39989004755837,23.248155257253835,77.42531210352743,23.271643942851718,32643
BHO_002,Bhopal,23.3,77.45,mixed,2560.0,2560.0,10.0,77.43728302359352,23.28825234403096,77.46271913204546,23.311746857537166,32643
BHO_003,Bhopal,23.2,77.55,construction,2560.0,2560.0,10.0,77.53728571866984,23.188245936139424,77.56271642437625,23.2117532790356,32643
BHO_004,Bhopal,23.28,77.3,industrial,2560.0,2560.0,10.0,77.28729666944793,23.268263159397076,77.31270548473721,23.29173602971311,32643
BHO_005,Bhopal,23.23,77.35,water,2560.0,2560.0,10.0,77.33729794763529,23.218259894952123,77.36270420027213,23.24173930096528,32643
PAT_001,Patna,25.5941,85.1376,urban,2560.0,2560.0,10.0,85.12468000311605,25.58238450521878,85.15051755202911,25.605814533906248,32645
PAT_002,Patna,25.65,85.18,mixed,2560.0,2560.0,10.0,85.16707739987083,25.638287685768734,85.19292014778092,25.661711346782187,32645
PAT_003,Patna,25.55,85.3,construction,2560.0,2560.0,10.0,85.28709946611939,25.53829779009913,85.31289809388173,25.561701236447377,32645
PAT_004,Patna,25.62,85.05,industrial,2560.0,2560.0,10.0,85.03706927614837,25.608277349995806,85.06292827613373,25.631721695819085,32645
PAT_005,Patna,25.52,85.1,water,2560.0,2560.0,10.0,85.08708511068404,25.508281812347537,85.11291245427203,25.53171723379662,32645
VAD_001,Vadodara,22.3072,73.1812,urban,2560.0,2560.0,10.0,73.16862801377472,22.295502328088826,73.19376994403346,22.318896863752144,32643
VAD_002,Vadodara,22.35,73.22,mixed,2560.0,2560.0,10.0,73.20742683724114,22.338304862689537,73.23257111542638,22.36169432371933,32643
VAD_003,Vadodara,22.25,73.3,construction,2560.0,2560.0,10.0,73.28744244595741,22.238310915822826,73.31255551795819,22.261688268176417,32643
VAD_004,Vadodara,22.32,73.1,industrial,2560.0,2560.0,10.0,73.08742067404218,22.308296587645223,73.11257728265792,22.331702610787577,32643
VAD_005,Vadodara,22.28,73.15,vegetation,2560.0,2560.0,10.0,73.13742827492274,22.268300268525113,73.16256968618042,22.29169892734568,32643
CBE_001,Coimbatore,11.0168,76.9558,urban,2560.0,2560.0,10.0,76.9440133333392,11.005154822534884,76.967587580402,11.028444879154252,32643
CBE_002,Coimbatore,11.08,77.0,mixed,2560.0,2560.0,10.0,76.98820895789449,11.0683530387465,77.01179196131855,11.091646663959803,32643
CBE_003,Coimbatore,10.95,77.1,construction,2560.0,2560.0,10.0,77.08821189027022,10.938350737751577,77.11178901726612,10.961648978790004,32643
CBE_004,Coimbatore,11.05,76.9,industrial,2560.0,2560.0,10.0,76.88821358403409,11.038356398247249,76.91178733275271,11.061643297382242,32643
CBE_005,Coimbatore,10.98,76.85,vegetation,2560.0,2560.0,10.0,76.8382184412597,10.968358394892842,76.86178246946461,10.991641299525481,32643
KOC_001,Kochi,9.9312,76.2673,urban,2560.0,2560.0,10.0,76.25558188134055,9.919581432824073,76.27901893870302,9.942818257415286,32643
KOC_002,Kochi,10.0,76.3,mixed,2560.0,2560.0,10.0,76.28827811520847,9.988380179555245,76.31172271076241,10.011619510494894,32643
KOC_003,Kochi,9.9,76.4,construction,2560.0,2560.0,10.0,76.38827911198274,9.888377574069114,76.4117217051793,9.91162212851047,32643
KOC_004,Kochi,10.05,76.25,industrial,2560.0,2560.0,10.0,76.23827764308763,10.03838152199024,76.26172318728979,10.061618161792875,32643
KOC_005,Kochi,9.95,76.2,water,2560.0,2560.0,10.0,76.1882832015273,9.938383414404282,76.21171762023005,9.96161626945072,32643
BBS_001,Bhubaneswar,20.2961,85.8245,urban,2560.0,2560.0,10.0,85.81215487582627,20.284453180385896,85.83684330589253,20.307746048034055,32645
BBS_002,Bhubaneswar,20.35,85.85,mixed,2560.0,2560.0,10.0,85.8376521609014,20.338354725205278,85.86234601486395,20.361644498516217,32645
BBS_003,Bhubaneswar,20.25,85.95,construction,2560.0,2560.0,10.0,85.93766748032094,20.238361566680677,85.96233070611729,20.26163765292588,32645
BBS_004,Bhubaneswar,20.3,85.75,industrial,2560.0,2560.0,10.0,85.73764936051883,20.288348276905094,85.76234882097461,20.311650957828533,32645
BBS_005,Bhubaneswar,20.22,85.8,vegetation,2560.0,2560.0,10.0,85.78765950595135,20.20835177186591,85.81233868412824,20.231647462180984,32645
